query_processed,article_title,paragraph,serp_position,title_common_tokens,num_title_common_tokens,tokens_to_find,paragraph_common_tokens,num_paragraph_common_tokens,paragraph_number_in_article,query_id,data_source,label
acupuncture migraine,Migraine,"Intravenous metoclopramide, intravenous prochlorperazine, or intranasal lidocaine are other potential options. Metoclopramide or prochlorperazine are the recommended treatment for those who present to the emergency department. Haloperidol may also be useful in this group. A single dose of intravenous dexamethasone, when added to standard treatment of a migraine attack, is associated with a 26% decrease in headache recurrence in the following 72 hours. Spinal manipulation for treating an ongoing migraine headache is not supported by evidence. It is recommended that opioids and barbiturates not be used due to questionable efficacy, addictive potential, and the risk of rebound headache. There is tentative evidence that propofol may be useful if other measures are not effective.Occipital nerve stimulation, may be effective but has the downsides of being cost-expensive and has a significant amount of complications.There is modest evidence for the effectiveness of non-invasive neuromodulatory devices, behavioral therapies and acupuncture in the treatment of migraine headaches. There is little to no evidence for the effectiveness of physical therapy, chiropractic manipulation and dietary approaches to the treatment of migraine headaches. Behavioral treatment of migraine headaches may be helpful for those who may not be able to take medications (for example pregnant women).Feverfew is registered as a traditional herbal medicine in the Nordic countries under the brand name Glitinum, only powdered feverfew is approved in the Herbal community monograph issued by European Medicines Agency (EMA).",3.0,['migraine'],1.0,['acupuncture'],['acupuncture'],1.0,154.0,5,2019,1.0
acupuncture migraine,Prevention of migraine attacks,"Cochrane reviews have found that acupuncture is effective in the treatment of migraine. The use of ""true"" acupuncture seems to be slightly more effective than sham acupuncture, however, both ""true"" and sham acupuncture appear to be at least similarly effective as treatment with preventative medications, with fewer adverse effects.",4.0,['migraine'],1.0,['acupuncture'],['acupuncture'],1.0,84.0,5,2019,1.0
acupuncture migraine,German acupuncture trials,"The German acupuncture trials (German: GERAC-Studien) were a series of nationwide acupuncture trials set up in 2001 and published in 2006 on behalf of several German statutory health insurance companies because of a dispute as to the usefulness of acupuncture. They consisted of one observational study on acupuncture side effects, and four randomized controlled trials (RCTs) investigating acupuncture treatment for low back pain, knee osteoarthritis, migraine prophylaxis, and tension-type headache. The trials are considered to be one of the largest clinical studies in the field of acupuncture.As a result of the GERAC trials, the German Federal Joint Committee ruled in April 2006 that the costs of acupuncture treatment for chronic back pain and knee osteoarthritis would be covered by public health insurers in Germany, though no coverage was offered for headache or migraine. However, because of the outcome of these trials, in the case of the other conditions, insurance corporations in Germany were not convinced that acupuncture had adequate benefits over usual care or sham treatments. No significant differences between acupuncture and sham acupuncture were found in any trial.  However, the trials also found that for chronic low back pain, the ""effectiveness of acupuncture, either verum or sham, was almost twice that of conventional therapy.""According to Schweizer Fernsehen, the total cost of the trials amounted to 7.5 million Euros. Several years after the committee's decision to incorporate acupunctural treatment into the healthcare of Germany was passed into law, the number of regular users of acupuncture in the country surpassed one million.",8.0,['acupuncture'],1.0,['migraine'],['migraine'],1.0,0.0,5,2019,1.0
acupuncture migraine,German acupuncture trials,"Beginning in 2001, the trials were carried out by Heidelberg University, the University of Marburg, the University of Mainz and the Ruhr University Bochum for low back pain, knee osteoarthritis, migraine prophylaxis, and tension-type headache. Apart from that, an observational study on adverse events of acupuncture was done.The RCTs were designed as three-armed trials, with the three parallel groups in each trial receiving either verum (real) acupuncture treatment, sham acupuncture treatment, or guideline-based conventional treatment. The number of patients randomized was one of the largest ever for acupuncture trials. For each indication, around 1000 test subjects were included. The trials were conducted using sham acupuncture. No significant differences between acupuncture and sham acupuncture were found in any trial.In 2005, the Deutsche Medizinische Wochenschrift (German Medical Weekly) published an article which criticized the trials for ""not meeting scientific criteria"". In 2006, Edzard Ernst, a professor of complementary medicine at the University of Exeter, noted that the studies had attracted criticism for not taking into account the risk of patient de-blinding, and that they ""[failed] to conclusively answer the question whether acupuncture helps patients through a specific or a nonspecific effect"". In September 2007, NHS Choices commented on the news surrounding the study and said that ""this trial seems to support the role of acupuncture as an effective alternative therapy for chronic lower back pain"" but that ""it will be important to try to tease apart the real treatment effects from those that occur through the placebo effect"". Highlighting the results of the placebo group, researchers refused to accept a placebo therapy as efficient.",8.0,['acupuncture'],1.0,['migraine'],['migraine'],1.0,9.0,5,2019,1.0
amygdalin laetrile cancer,Amygdalin,"Amygdalin is classified as a cyanogenic glycoside because each amygdalin molecule includes a nitrile group, which can be released as the toxic cyanide anion by the action of a beta-glucosidase. Eating amygdalin will cause it to release cyanide in the human body, and may lead to cyanide poisoning.Since the early 1950s, both amygdalin and a chemical derivative named laetrile have been promoted as alternative cancer treatments, often under the misnomer vitamin B17 (neither amygdalin nor laetrile is a vitamin). Scientific study has found them to not only be clinically ineffective in treating cancer, but also potentially toxic or lethal when taken by mouth due to cyanide poisoning. The promotion of laetrile to treat cancer has been described in the medical literature as a canonical example of quackery, and as ""the slickest, most sophisticated, and certainly the most remunerative cancer quack promotion in medical history"".",1.0,['amygdalin'],1.0,"['laetrile', 'cancer']","['laetrile', 'cancer']",2.0,1.0,6,2019,0.0
amygdalin laetrile cancer,Amygdalin,"A 500 mg laetrile tablet may contain between 2.5 and 25 mg of hydrogen cyanide.Like amygdalin, laetrile is hydrolyzed in the duodenum (alkaline) and in the intestine (enzymatically) to D-glucuronic acid and L-mandelonitrile; the latter hydrolyzes to benzaldehyde and hydrogen cyanide, that in sufficient quantities causes cyanide poisoning.Claims for laetrile were based on three different hypotheses: The first hypothesis proposed that cancerous cells contained copious beta-glucosidases, which release HCN from laetrile via hydrolysis. Normal cells were reportedly unaffected, because they contained low concentrations of beta-glucosidases and high concentrations of rhodanese, which converts HCN to the less toxic thiocyanate. Later, however, it was shown that both cancerous and normal cells contain only trace amounts of beta-glucosidases and similar amounts of rhodanese.The second proposed that, after ingestion, amygdalin was hydrolyzed to mandelonitrile, transported intact to the liver and converted to a beta-glucuronide complex, which was then carried to the cancerous cells, hydrolyzed by beta-glucuronidases to release mandelonitrile and then HCN. Mandelonitrile, however, dissociates to benzaldehyde and hydrogen cyanide, and cannot be stabilized by glycosylation.: 9 Finally, the third asserted that laetrile is the discovered vitamin B-17, and further suggests that cancer is a result of ""B-17 deficiency"". It postulated that regular dietary administration of this form of laetrile would, therefore, actually prevent all incidences of cancer. There is no evidence supporting this conjecture in the form of a physiologic process, nutritional requirement, or identification of any deficiency syndrome. The term ""vitamin B-17"" is not recognized by Committee on Nomenclature of the American Institute of Nutrition Vitamins. Ernst T. Krebs (not to be confused with Hans Adolf Krebs, the discoverer of the citric acid cycle) branded laetrile as a vitamin in order to have it classified as a nutritional supplement rather than as a pharmaceutical.",1.0,['amygdalin'],1.0,"['laetrile', 'cancer']","['laetrile', 'cancer']",2.0,11.0,6,2019,0.0
amygdalin laetrile cancer,List of unproven and disproven cancer treatments,"Amygdalin (sometimes going by the trade name Laetrile) – a glycoside, has been promoted as a cancer cure. However, it has been found to be ineffective and toxic; its promotion has been described as ""the slickest, most sophisticated, and certainly the most remunerative cancer quack promotion in medical history.""",7.0,['cancer'],1.0,"['amygdalin', 'laetrile']","['amygdalin', 'laetrile']",2.0,63.0,6,2019,0.0
amygdalin laetrile cancer,List of unproven and disproven cancer treatments,"Contreras therapy – treatment offered at the Oasis of Hope Hospital in Tijuana, Mexico which includes a number of ineffective treatments including the use of amygdalin and metabolic therapy. The Memorial Sloan-Kettering Cancer Center lists ""Contreras Therapy"" alongside others which ""show no evidence of efficacy"".",7.0,['cancer'],1.0,"['amygdalin', 'laetrile']",['amygdalin'],1.0,46.0,6,2019,0.0
aspirin vascular dementia,Vascular dementia,"Early detection and accurate diagnosis are important, as vascular dementia is at least partially preventable. Ischemic changes in the brain are irreversible, but the patient with vascular dementia can demonstrate periods of stability or even mild improvement. Since stroke is an essential part of vascular dementia, the goal is to prevent new strokes. This is attempted through reduction of stroke risk factors, such as high blood pressure, high blood lipid levels, atrial fibrillation, or diabetes mellitus. Meta-analyses have found that medications for high blood pressure are effective at prevention of pre-stroke dementia, which means that high blood pressure treatment should be started early. These medications include angiotensin converting enzyme inhibitors, diuretics, calcium channel blockers, sympathetic nerve inhibitors, angiotensin II receptor antagonists or adrenergic antagonists. Elevated lipid levels, including HDL, were found to increase risk of vascular dementia. However, six large recent reviews showed that therapy with statin drugs was ineffective in treatment or prevention of this dementia. Aspirin is a medication that is commonly prescribed for prevention of strokes and heart attacks; it is also frequently given to patients with dementia. However, its efficacy in slowing progression of dementia or improving cognition has not been supported by studies. Smoking cessation and Mediterranean diet have not been found to help patients with cognitive impairment; physical activity was consistently the most effective method of preventing cognitive decline.",1.0,"['dementia', 'vascular']",2.0,['aspirin'],['aspirin'],1.0,21.0,7,2019,0.0
aspirin vascular dementia,Prevention of dementia,"The prevention of dementia involves reducing the number of risk factors for the development of dementia, and is a global health priority needing a global response. Initiatives include the establishment of the International Research Network on Dementia Prevention (IRNDP) which aims to link researchers in this field globally, and the establishment of the Global Dementia Observatory a web-based data knowledge and exchange platform, which will collate and disseminate key dementia data from members states. Although there is no cure for dementia, it is well established that modifiable risk factors influence both the likelihood of developing dementia and the age at which it is developed. Dementia can be prevented by reducing the risk factors for vascular disease such as diabetes, high blood pressure, obesity, smoking, physical inactivity and depression. A study concluded that more than a third of dementia cases are theoretically preventable. Among older adults both an unfavorable lifestyle and high genetic risk are independently associated with higher dementia risk. A favorable lifestyle is associated with a lower dementia risk, regardless of genetic risk. In 2020, a study identified 12 modifiable lifestyle factors, and the early treatment of acquired hearing loss was estimated as the most significant of these factors, potentially preventing up to 9% of dementia cases.",2.0,['dementia'],1.0,"['aspirin', 'vascular']",['vascular'],1.0,0.0,7,2019,0.0
aspirin vascular dementia,Prevention of dementia,"""Use it or lose it"" might be applied to the brain when it comes to dementia. Intellectual activities help keep the mind in shape in later years. Activities such as reading, learning a new language, playing cards and board games and playing a musical instrument can postpone the onset and slow the progression of both Alzheimer's and vascular dementia. The risk decrease is proportional to frequency of activity, with slower cognitive decline being associated with both late-life and early-life increased cognitive activity.Apart from spare time activities, a mentally demanding job may prevent dementia, especially during the thirties, forties and fifties.Mental activity may help to prevent dementia by building up a ""brain reserve"": additional connections between neurons are created which are more resistant to the deterioration seen in dementia.",2.0,['dementia'],1.0,"['aspirin', 'vascular']",['vascular'],1.0,8.0,7,2019,0.0
aspirin vascular dementia,Aspirin,"Aspirin is an important part of the treatment of those who have had a heart attack. It is generally not recommended for routine use by people with no other health problems, including those over the age of 70.The 2009 Antithrombotic Trialists' Collaboration published in Lancet evaluated the efficacy and safety of low dose aspirin in secondary prevention. In those with prior ischaemic stroke or acute myocardial infarction, daily low dose aspirin was associated with a 19% relative risk reduction of serious cardiovascular events (non-fatal myocardial infarction, non-fatal stroke, or vascular death). This did come at the expense of a 0.19% absolute risk increase in gastrointestinal bleeding; however, the benefits outweigh the hazard risk in this case. Data from early trials of aspirin in primary prevention suggested low dose aspirin is more beneficial for people <70 kg and high dose aspirin is more beneficial for those ≥70 kg. However, more recent trials have suggested lower dose aspirin is not more efficacious in people with a low body weight and more evidence is required to determine the effect of higher dose aspirin in people with a high body weight. The United States Preventive Services Task Force (USPSTF), in 2016, recommended initiating low-dose aspirin use for the primary prevention of cardiovascular disease and colon cancer in adults aged 50 to 59 years who have a 10% or greater 10-year cardiovascular disease (CVD) risk, are not at increased risk for bleeding, have a life expectancy of at least 10 years, and are willing to take low-dose aspirin daily for at least 10 years. However, in 2021, the USPSTF recommended against the routine use of daily aspirin for primary prevention in adults in their 40s and 50s, citing the fact that the risk of side effects outweighs the potential benefits. In April 2022, the USPSTF said ""people ages 40 to 59 who are at higher risk for CVD should decide with their clinician whether to start taking aspirin; people 60 or older should not start taking aspirin to prevent a first heart attack or stroke.""The status of the use of aspirin for the primary prevention in cardiovascular disease is conflicting and inconsistent. The ASCEND study demonstrated that in high-bleeding risk diabetics with no prior cardiovascular disease, there is no overall clinical benefit (12% decrease in risk of ischaemic events v/s 29% increase in GI bleeding) of low dose aspirin in preventing the serious vascular events over a period of 7.4 years. Similarly, the results of the ARRIVE study also showed no benefit of same dose of aspirin in reducing the time to first cardiovascular outcome in patients with moderate risk of cardiovascular disease over a period of five years.Aspirin appears to offer little benefit to those at lower risk of heart attack or stroke—for instance, those without a history of these events or with pre-existing disease. Some studies recommend aspirin on a case-by-case basis, while others have suggested the risks of other events, such as gastrointestinal bleeding, were enough to outweigh any potential benefit, and recommended against using aspirin for primary prevention entirely. Aspirin has also been suggested as a component of a polypill for prevention of cardiovascular disease.Complicating the use of aspirin for prevention is the phenomenon of aspirin resistance. For people who are resistant, aspirin's efficacy is reduced. Some authors have suggested testing regimens to identify people who are resistant to aspirin.After percutaneous coronary interventions (PCIs), such as the placement of a coronary artery stent, a U.S. Agency for Healthcare Research and Quality guideline recommends that aspirin be taken indefinitely. Frequently, aspirin is combined with an ADP receptor inhibitor, such as clopidogrel, prasugrel, or ticagrelor to prevent blood clots. This is called dual antiplatelet therapy (DAPT). Duration of DAPT was advised in the United States and European Union guidelines after the CURE  and PRODIGY  studies . In 2020, the systematic review and network meta-analysis from Khan et al. showed promising benefits of short-term (< 6 months) DAPT followed by P2Y12 inhibitors in selected patients, as well as the benefits of extended-term (> 12 months) DAPT in high risk patients. In conclusion, the optimal duration of DAPT after PCIs should be personalized after outweighing each patient's risks of ischemic events and risks of bleeding events with consideration of multiple patient-related and procedure-related factors. Moreover, aspirin should be continued indefinitely after DAPT is complete.",3.0,['aspirin'],1.0,"['dementia', 'vascular']",['vascular'],1.0,85.0,7,2019,0.0
aspirin vascular dementia,Aspirin,"Although cohort and longitudinal studies have shown low-dose aspirin has a greater likelihood of reducing the incidence of dementia, numerous randomised controlled trials have not validated this.",3.0,['aspirin'],1.0,"['dementia', 'vascular']",['dementia'],1.0,100.0,7,2019,0.0
melatonin jet lag,Jet lag,"In addition to timed light exposure, the right type and dose of melatonin, at the right time, can help the traveler shift faster and sleep better as they are transitioning between time zones  There remain issues regarding the appropriate timing of melatonin use in addition to the legality of the substance in certain countries. How effective it may actually be is also questionable. For athletes, anti-doping agencies may prohibit or limit its use.Melatonin can be considered to be a darkness signal, with effects on circadian timing that are the opposite of the effects of exposure to light. Melatonin receptors are situated on the suprachiasmatic nucleus, which is the anatomical site of the circadian clock. The results of a few field studies of melatonin administration, monitoring circadian phase, have provided evidence for a correlation between the reduction of jet lag symptoms and the accelerated realignment of the circadian clock.",1.0,"['jet', 'lag']",2.0,['melatonin'],['melatonin'],1.0,43.0,8,2019,1.0
melatonin jet lag,Jet lag,"Jet lag may affect the mental health of vulnerable individuals. When travelling across time zones, there is a ""phase-shift of body temperature, rapid-eye-movement sleep, melatonin production, and other circadian rhythms"". A 2002 study found that relapse of major affective and psychotic disorders occurred more frequently when seven or more time zones had been crossed in the past week than when three or fewer had been crossed. Although significant disruptions of circadian rhythms had been documented as affecting individuals with bipolar disorder, an Australian team studied suicide statistics from 1971 to 2001 to determine whether the one-hour shifts involved in daylight saving time had an effect. They found increased incidence of male suicide after the commencement of daylight saving time but not after returning to standard time.",1.0,"['jet', 'lag']",2.0,['melatonin'],['melatonin'],1.0,56.0,8,2019,1.0
melatonin jet lag,Melatonin (supplement/medication),"Melatonin is a dietary supplement and medication as well as naturally occurring hormone. As a hormone, melatonin is released by the pineal gland and is involved in sleep–wake cycles. As a supplement, it is often used for the short-term treatment of insomnia, such as from jet lag or shift work, and is typically taken orally. Evidence of its benefit for this use, however, is not strong. A 2017 review found that sleep onset occurred six minutes faster with use, but found no change in total time asleep. A prolonged-release form of melatonin is also approved for use as a medication in Europe for the treatment of insomnia in certain people.Side effects from melatonin supplements are minimal at low doses for short durations (in the studies reported about equally for both melatonin and placebo). Side effects of melatonin are rare but may occur in 1 to 10 patients in 1,000. They may include somnolence (sleepiness), headaches, nausea, diarrhea, abnormal dreams, irritability, nervousness, restlessness, insomnia, anxiety, migraine, lethargy, psychomotor hyperactivity, dizziness, hypertension, abdominal pain, heartburn, mouth ulcers, dry mouth, hyperbilirubinaemia, dermatitis, night sweats, pruritus, rash, dry skin, pain in the extremities, symptoms of menopause, chest pain, glycosuria (sugar in the urine), proteinuria (protein in the urine), abnormal liver function tests, increased weight, tiredness, mood swings, aggression and feeling hungover. Its use is not recommended during pregnancy or breastfeeding or for those with liver disease.Melatonin acts as an agonist of the melatonin MT1 and MT2 receptors, the biological targets of endogenous melatonin. It is thought to activate these receptors in the suprachiasmatic nucleus of the hypothalamus in the brain to regulate the circadian clock and sleep–wake cycles. Immediate-release melatonin has a short elimination half-life of about 20 to 50 minutes. Prolonged-release melatonin used as a medication has a half-life of 3.5 to 4 hours.Melatonin was discovered in 1958. It is sold over the counter in Canada and the United States; in the United Kingdom, it is a prescription-only medication. In Australia and the European Union, it is indicated for difficulty sleeping in people over the age of 54. In the European Union, it is indicated for the treatment of insomnia in children and adolescents. The US Food and Drug Administration (FDA) treats melatonin as a dietary supplement and as such has not approved it for any medical uses. It was approved for medical use in the European Union in 2007. Besides melatonin, certain synthetic melatonin receptor agonists like ramelteon, tasimelteon, and agomelatine are also used in medicine. In 2019, it was the 208th most commonly prescribed medication in the United States, with more than 2 million prescriptions.",2.0,['melatonin'],1.0,"['jet', 'lag']","['jet', 'lag']",2.0,0.0,8,2019,1.0
melatonin jet lag,Melatonin (supplement/medication),"Melatonin may be useful in the treatment of delayed sleep phase syndrome.Melatonin is known to reduce jet lag, especially in eastward travel. However, if it is not taken at the correct time, it can instead delay adaptation.Melatonin appears to have limited use against the sleep problems of people who work shift work. Tentative evidence suggests that it increases the length of time people are able to sleep.",2.0,['melatonin'],1.0,"['jet', 'lag']","['jet', 'lag']",2.0,11.0,8,2019,1.0
